transaction_id,date,store_name,store_city,product_name,category,units_sold, unit_price ,customer_id
TXN5000,2023-08-29,Chennai Anna,Chennai,Speaker,electronics,3," 49,262.78 ",CUST045
TXN5001,2023-12-12,Chennai Anna,Chennai,Tablet,Electronics,11," 23,226.12 ",CUST021
TXN5002,2023-02-05,Chennai Anna,Chennai,Phone,Electronics,20," 48,703.39 ",CUST019
TXN5003,2023-02-20,Delhi South,Delhi,Tablet,Electronics,14," 23,226.12 ",CUST007
TXN5004,2023-01-15,Chennai Anna,Chennai,Smartwatch,electronics,10," 58,851.01 ",CUST004
TXN5005,2023-08-09,Bangalore MG,Bangalore,Atta 10kg,Grocery,12," 52,464.00 ",CUST027
TXN5006,2023-03-31,Pune FC Road,Pune,Smartwatch,electronics,6," 58,851.01 ",CUST025
TXN5007,2023-10-26,Pune FC Road,Pune,Jeans,Clothing,16," 2,317.47 ",CUST041
TXN5008,2023-12-08,Bangalore MG,Bangalore,Biscuits,Groceries,9," 27,469.99 ",CUST030
TXN5009,2023-08-15,Bangalore MG,Bangalore,Smartwatch,electronics,3," 58,851.01 ",CUST020
TXN5010,2023-06-04,Chennai Anna,Chennai,Jacket,Clothing,15," 30,187.24 ",CUST031
TXN5011,2023-10-20,Mumbai Central,Mumbai,Jeans,Clothing,13," 2,317.47 ",CUST045
TXN5012,2023-05-21,Bangalore MG,Bangalore,Laptop,Electronics,13," 42,343.15 ",CUST044
TXN5013,2023-04-28,Mumbai Central,Mumbai,Milk 1L,Groceries,10," 43,374.39 ",CUST015
TXN5014,2023-11-18,Delhi South,Delhi,Jacket,Clothing,5," 30,187.24 ",CUST042
TXN5015,2023-01-18,Mumbai Central,Mumbai,Saree,Clothing,15," 35,451.81 ",CUST009
TXN5016,2023-08-01,Mumbai Central,Mumbai,Saree,Clothing,11," 35,451.81 ",CUST035
TXN5017,2023-05-12,Bangalore MG,Bangalore,Jacket,Clothing,6," 30,187.24 ",CUST019
TXN5018,2023-02-08,Bangalore MG,Bangalore,Headphones,Electronics,15," 39,854.96 ",CUST015
TXN5019,2023-07-22,Chennai Anna,Chennai,Atta 10kg,Grocery,3," 52,464.00 ",CUST008
TXN5020,2023-10-27,Chennai Anna,Chennai,Atta 10kg,Grocery,9," 52,464.00 ",CUST024
TXN5021,2023-01-13,Mumbai Central,Mumbai,Jeans,Clothing,16," 2,317.47 ",CUST036
TXN5022,2023-11-22,Bangalore MG,Bangalore,Jeans,Clothing,3," 2,317.47 ",CUST020
TXN5023,2023-01-24,Chennai Anna,Chennai,Headphones,Electronics,5," 39,854.96 ",CUST032
TXN5024,2023-10-03,Mumbai Central,Mumbai,Headphones,Electronics,8," 39,854.96 ",CUST024
TXN5025,2023-03-21,Pune FC Road,Pune,Pulses 1kg,Grocery,19," 31,604.47 ",CUST032
TXN5026,2023-01-17,Pune FC Road,Pune,Pulses 1kg,Grocery,9," 31,604.47 ",CUST029
